 Year ; Cultura ; Crop ; Region ; Council ; Distrito ; Nut2 ; Nut3 ;TSI;Pre;StateSupport
2021;pêssego; peach ;E;Guarda; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;104820.00;32399.86;18691.50
2021;pêssego; peach ;E;Sernancelhe; Viseu ; Região do Norte ; Douro ;4506.00;1435.15;803.51
2021;pêssego; peach ;E;Tarouca; Viseu ; Região do Norte ; Douro ;1524.00;485.39;271.76
2021;pêssego; peach ;E;Trancoso; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;24987.00;7723.48;4455.67
2021;pimento; pepper ;B;Montemor-o-Velho; Coimbra ; Região do Centro ; Região de Coimbra ;33753.60;428.67;257.20
2021;pimento; pepper ;B;Rio Maior; Santarém ; Alentejo ; Lezíria do Tejo ;85883.40;1090.71;638.75
2021;pimento; pepper ;C;Alandroal; Évora ; Alentejo ; Alentejo Central ;31200.00;514.80;293.43
2021;pimento; pepper ;C;Almeirim; Santarém ; Alentejo ; Lezíria do Tejo ;185603.00;2595.74;1559.07
2021;pimento; pepper ;C;Cartaxo; Santarém ; Alentejo ; Lezíria do Tejo ;156288.00;2578.75;1547.24
2021;pimento; pepper ;C;Coruche; Santarém ; Alentejo ; Lezíria do Tejo ;434288.25;4351.95;2578.26
2021;pimento; pepper ;C;Elvas; Portalegre ; Alentejo ; Alto Alentejo ;356669.64;5885.06;3354.47
2021;pimento; pepper ;C;Estremoz; Évora ; Alentejo ; Alentejo Central ;104940.00;1731.50;986.95
2021;pimento; pepper ;C;Fronteira; Portalegre ; Alentejo ; Alto Alentejo ;80524.16;1328.64;757.32
2021;pimento; pepper ;C;Monforte; Portalegre ; Alentejo ; Alto Alentejo ;60340.50;995.61;567.50
2021;pimento; pepper ;C;Mora; Évora ; Alentejo ; Alentejo Central ;35640.00;588.06;335.19
2021;pimento; pepper ;C;Salvaterra de Magos; Santarém ; Alentejo ; Lezíria do Tejo ;347534.00;1812.20;1084.29
2021;pimento; pepper ;C;Santarém; Santarém ; Alentejo ; Lezíria do Tejo ;75875.50;1251.95;751.17
2021;pimento; pepper ;D;Abrantes; Santarém ; Região do Centro ; Médio Tejo ;171542.51;3465.15;2031.01
2021;pimento; pepper ;D;Coimbra; Coimbra ; Região do Centro ; Região de Coimbra ;13257.00;267.79;152.64
2021;plantas aromáticas e medicinais; aromatic and medicinal plants ;B;Figueira da Foz; Coimbra ; Região do Centro ; Região de Coimbra ;87155.24;1106.86;630.91
2021;plantas aromáticas e medicinais; aromatic and medicinal plants ;D;Idanha-a-Nova; Castelo Branco ; Região do Centro ; Beira Baixa ;5229.00;105.62;60.20
2021;plantas aromáticas e medicinais; aromatic and medicinal plants ;E;Almeida; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;1000.00;32.90;18.75
2021;romã; pomegranate ;A;Tavira; Faro ; Algarve ; Algarve ;1393.20;49.45;28.19
2021;romã; pomegranate ;B;Alcácer do Sal; Setúbal ; Alentejo ; Alentejo Litoral ;26248.85;1309.50;785.89
2021;romã; pomegranate ;B;Cadaval; Lisboa ; Região do Centro ; Oeste ;7224.00;383.59;227.56
2021;romã; pomegranate ;B;Montijo; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;45000.00;2244.97;1347.30
2021;romã; pomegranate ;C;Alandroal; Évora ; Alentejo ; Alentejo Central ;5104.00;508.73;305.32
2021;romã; pomegranate ;C;Beja; Beja ; Alentejo ; Baixo Alentejo ;71160.00;7093.17;4256.79
2021;romã; pomegranate ;C;Estremoz; Évora ; Alentejo ; Alentejo Central ;12000.00;1196.14;717.84
2021;romã; pomegranate ;D;Tomar; Santarém ; Região do Centro ; Médio Tejo ;15000.00;3422.25;2053.80
2021;tangera; tangerine ;A;Silves; Faro ; Algarve ; Algarve ;15750.50;582.77;349.66
